week_end,avg_Wheat,avg_Rice,avg_Corn,min_max_acceptable_price_Wheat_min,min_max_acceptable_price_Wheat_max,min_max_acceptable_price_Rice_min,min_max_acceptable_price_Rice_max,min_max_acceptable_price_Corn_min,min_max_acceptable_price_Corn_max
9/21/24,1079,1372,996,4.24,3.91,2.11,3.57,4.09,2.04
9/14/24,1481,938,707,4.21,2.75,4.19,4.19,2.23,2.9
9/7/24,669,553,905,3.81,3.89,3.07,2.23,2.24,2.53
8/31/24,1196,955,509,3.74,4.04,4.47,3.06,2.33,2.18
8/24/24,820,876,1402,2.34,3.93,3.88,2.33,4.48,2.36
8/17/24,668,950,859,3.57,2.38,3.03,3.72,4.15,2.22
8/10/24,1247,893,859,2.79,2.35,2.69,2.21,3.38,3.5
8/3/24,527,1368,1367,2.51,3.52,2.47,2.98,3.62,3.96
7/27/24,1153,1108,572,4.47,4.33,2.33,4.15,3.42,2.91
7/20/24,1288,574,517,2.03,2.54,4.31,4.37,2.99,2.72
7/13/24,1218,911,584,2.69,2.77,3.28,2.51,4.02,3.34
7/6/24,1197,1158,567,3.75,3.82,4.12,2.14,2.22,3.09
6/29/24,1182,1259,1173,2.3,3.77,3.75,2.41,4.38,3.31
6/22/24,1267,1299,1394,3.83,2.3,4.25,2.84,3.07,3.31
6/15/24,578,1008,966,2.9,3.25,3.42,2.92,2.64,2.26
6/8/24,1021,502,545,2.61,3.18,2.96,2.38,4.33,4.14
6/1/24,1171,929,729,2.62,4.29,2.8,4.06,3.43,2.3
5/25/24,1323,1028,547,2.17,3.16,2.71,4.11,2.82,3.38
5/18/24,1303,811,1257,3.16,3.48,3.23,3.93,2.49,4.25
5/11/24,1454,919,524,3.35,3.59,3.73,2.02,2.84,3.9
5/4/24,1042,743,929,4.4,4.43,2.36,2.7,2.11,2.58
4/27/24,969,1497,1265,3.45,3.26,3.59,2.99,3.48,2.16
4/20/24,767,1371,822,3.75,3.84,2.8,2.68,2.19,2.51
4/13/24,608,668,960,2.79,2.3,2.9,3.93,3.13,3.16
4/6/24,1346,1221,1213,2.54,4.14,2.37,3.78,4.42,2.99
3/30/24,678,531,1474,4.14,3.39,3.38,2.24,2.25,3.98
3/23/24,727,633,702,2.93,3.58,3.61,3.46,2.65,4.03
3/16/24,1328,631,594,2.31,4.36,2.13,4.31,3.08,3.81
3/9/24,676,862,719,2.69,3.12,2.37,3.54,3.54,3.62
3/2/24,562,589,786,2.34,2.5,4.21,3.31,3.58,4.01
2/24/24,1057,1300,996,4.28,3.26,2.97,2.45,2.8,2.55
2/17/24,983,1042,866,4.43,2.25,3.64,2.67,4.04,4.29
2/10/24,1089,1366,1316,2.89,4.1,4.11,2.44,3.48,4.02
2/3/24,1217,860,1470,3.41,2.47,4.47,4.2,3.23,2.77
1/27/24,1116,724,520,2,4.29,2.5,2.33,3.79,4.3
1/20/24,1221,1439,645,4.12,4.15,4.4,2.93,4.35,2.99
1/13/24,1499,661,1249,3.98,4.4,3.62,2.44,4.42,3.73
1/6/24,1103,1334,679,2.77,3.72,2.32,3.82,4.37,4.37
12/30/23,1116,825,1443,3.6,2.26,3.24,2.83,2.19,2.87
12/23/23,590,1341,1225,3.12,2.66,2.62,2.17,2.64,2.27
12/16/23,929,1492,670,3.23,2.95,3.37,2.25,3.2,4.16
12/9/23,962,575,1318,2.74,2.8,4.38,2.19,2.43,2.94
12/2/23,595,846,1108,3.76,3.08,3.63,3.52,3.09,2.13
11/25/23,1213,1067,1239,3.65,2.74,2.24,2.98,3.37,3.23
11/18/23,801,1343,1177,2.5,2.06,2.43,2.73,2.2,4.11
11/11/23,1416,1176,771,3.6,2.97,2.93,2.95,2.47,2.11
11/4/23,775,1077,563,3.88,3.67,2.21,2.86,3.35,4.43
10/28/23,1338,1035,928,3.43,2.59,2.75,2.99,4.13,2.09
10/21/23,1193,1135,650,4.37,3.12,4.37,2.42,2.53,2.48
10/14/23,945,706,1342,4.09,2.64,4.28,4.29,2.17,2.97
10/7/23,1032,969,1439,3.97,3.56,3.31,3.05,3.04,2.37
9/30/23,602,1447,608,3.96,4.17,4.2,4.19,2.66,3.64
9/23/23,912,647,1133,2.1,4.22,2.83,2.59,3.86,4.3
9/16/23,810,818,787,4.15,3.71,4.43,2.57,2.75,3.86
9/9/23,926,1119,1161,2.47,2.53,4.06,3.85,3.9,4.17
9/2/23,818,1226,1018,2.34,4.13,4.2,2.07,2.48,4.08
8/26/23,1440,869,1221,2.68,4.06,3.26,3.59,2.31,2.08
8/19/23,1391,985,1100,2.86,4.09,2.65,4.08,2.23,2.07
8/12/23,1488,719,1377,3.62,3.69,2.67,3.02,2.05,3.95
8/5/23,635,1162,677,2.56,3.52,4.36,3.78,3.77,2.69
7/29/23,723,977,809,3.46,2.02,4.5,4.42,4.1,3.4
7/22/23,993,565,844,3.6,4.15,2.65,3.78,4.23,2.75
7/15/23,558,1324,1377,3.65,3.7,3.8,3.64,4.49,2.65
7/8/23,1097,1225,1085,2.86,3.78,3.72,3.6,3.19,4.35
7/1/23,1360,1173,1397,2.73,3.18,3.85,3.81,3.4,4.28
6/24/23,727,863,728,3.05,4.22,2.93,3.46,3.16,2.29
6/17/23,572,983,1410,3.25,4.17,2.95,2.75,2.14,4.14
6/10/23,1083,1414,1428,2.36,4.16,2.45,2.2,2.83,4.47
6/3/23,780,714,1279,3.44,2.4,3.96,3.95,2.32,3.08
5/27/23,504,538,1046,3.83,4.38,4.23,3.89,3.33,2.04
5/20/23,1210,1398,852,2.32,2.96,3.47,2.42,4.06,2.75
5/13/23,1036,845,944,2.86,4.25,2.9,2.47,4.37,4.3
5/6/23,634,716,1251,3.47,2.42,2.92,3.63,2.09,4.19
4/29/23,549,1177,610,2.12,2.29,3.11,2.31,2.63,3.75
4/22/23,808,930,1177,3.66,2.67,3.51,2.34,4.08,2.26
4/15/23,1303,608,1009,3.52,3.94,4.08,4.43,2.89,3.02
4/8/23,712,1204,1455,2.83,2.01,3.68,4.27,4.09,3.67
4/1/23,1240,603,1426,3.61,3.14,4.44,2.66,2.13,4.03
3/25/23,1193,820,936,2.24,3.9,2.11,4.13,3.66,2.43
3/18/23,774,1399,1250,2.93,2.86,2.28,3,3.14,4.09